Date,Open,High,Low,Close,Volume
15.01.2007 07:00:00.000 GMT+0900,1.6697,1.6697,1.6429,1.6429,8
22.01.2007 07:00:00.000 GMT+0900,1.6429,1.6602,1.6429,1.6602,2
29.01.2007 07:00:00.000 GMT+0900,1.6602,1.68075,1.6602,1.68075,8
05.02.2007 07:00:00.000 GMT+0900,1.68075,1.68075,1.68075,1.68075,0
12.02.2007 07:00:00.000 GMT+0900,1.68075,1.6808,1.68075,1.6808,0
19.02.2007 07:00:00.000 GMT+0900,1.6808,1.6808,1.66255,1.6628,7
26.02.2007 07:00:00.000 GMT+0900,1.66388,1.67877,1.6626,1.67877,48.7
05.03.2007 07:00:00.000 GMT+0900,1.67877,1.67877,1.67877,1.67877,0
12.03.2007 06:00:00.000 GMT+0900,1.67696,1.69145,1.6697,1.67211,463404.9002
19.03.2007 06:00:00.000 GMT+0900,1.67487,1.67758,1.64711,1.64916,639012.4988
26.03.2007 06:00:00.000 GMT+0900,1.64785,1.66072,1.64201,1.65147,633461.6007
02.04.2007 06:00:00.000 GMT+0900,1.65013,1.6529,1.6286,1.6384,857367.1033
09.04.2007 06:00:00.000 GMT+0900,1.63817,1.6397,1.62039,1.62255,797626.2992
16.04.2007 06:00:00.000 GMT+0900,1.62533,1.6392,1.61873,1.622,741546.8024
23.04.2007 06:00:00.000 GMT+0900,1.62258,1.6498,1.62193,1.6445,738927.8983
30.04.2007 06:00:00.000 GMT+0900,1.64415,1.6593,1.639,1.654,768694.129
07.05.2007 06:00:00.000 GMT+0900,1.6554,1.6563,1.6216,1.6259,783503.149
14.05.2007 06:00:00.000 GMT+0900,1.62702,1.6445,1.6211,1.6412,781173.9192
21.05.2007 06:00:00.000 GMT+0900,1.63794,1.644,1.6296,1.643,778224.3985
28.05.2007 06:00:00.000 GMT+0900,1.64207,1.6477,1.613,1.6139,733931.6012
04.06.2007 06:00:00.000 GMT+0900,1.61389,1.61926,1.58133,1.58228,316422.1983
11.06.2007 06:00:00.000 GMT+0900,1.5831,1.59469,1.57663,1.58918,303542.4
18.06.2007 06:00:00.000 GMT+0900,1.59215,1.5946,1.57802,1.58923,300782.4003
25.06.2007 06:00:00.000 GMT+0900,1.58808,1.60843,1.58008,1.5949,312220.7992
02.07.2007 06:00:00.000 GMT+0900,1.59429,1.5953,1.5832,1.58702,1386582.4941
09.07.2007 06:00:00.000 GMT+0900,1.58768,1.60475,1.58037,1.58139,1405589.8
16.07.2007 06:00:00.000 GMT+0900,1.58281,1.58416,1.5653,1.5703,1801030.7271
23.07.2007 06:00:00.000 GMT+0900,1.57025,1.603,1.54718,1.6005,2122429.9483
30.07.2007 06:00:00.000 GMT+0900,1.59941,1.6165,1.5916,1.6112,1967300.1869
06.08.2007 06:00:00.000 GMT+0900,1.61756,1.6263,1.5931,1.6214,1740230.1357
13.08.2007 06:00:00.000 GMT+0900,1.62048,1.7449,1.6111,1.68878,2600224.1922
20.08.2007 06:00:00.000 GMT+0900,1.69102,1.7094,1.6451,1.6526,2333391.0485
27.08.2007 06:00:00.000 GMT+0900,1.64895,1.68445,1.6396,1.66445,2575665.6955
03.09.2007 06:00:00.000 GMT+0900,1.66966,1.6724,1.6408,1.665,2255946.1608
10.09.2007 06:00:00.000 GMT+0900,1.66525,1.6853,1.6445,1.6474,2109061.7425
17.09.2007 06:00:00.000 GMT+0900,1.6467,1.6752,1.6174,1.6252,2102117.7468
24.09.2007 06:00:00.000 GMT+0900,1.62515,1.6367,1.60265,1.6063,1972506.7376
01.10.2007 06:00:00.000 GMT+0900,1.60609,1.6112,1.5707,1.5742,2059991.8226
08.10.2007 06:00:00.000 GMT+0900,1.57195,1.583,1.5637,1.5669,2029532.1992
15.10.2007 06:00:00.000 GMT+0900,1.56647,1.60755,1.5626,1.60565,2932192.9218
22.10.2007 06:00:00.000 GMT+0900,1.6117,1.6223,1.56635,1.56655,2398441.0863
29.10.2007 06:00:00.000 GMT+0900,1.56763,1.58405,1.54955,1.57045,2153736.9476
05.11.2007 07:00:00.000 GMT+0900,1.57452,1.6121,1.55895,1.60872,2764935.533
12.11.2007 07:00:00.000 GMT+0900,1.6196,1.6596,1.6125,1.64105,4289327.2456
19.11.2007 07:00:00.000 GMT+0900,1.63579,1.716,1.63165,1.6893,1899749.1999
26.11.2007 07:00:00.000 GMT+0900,1.6825,1.7157,1.65274,1.65433,3914750.1711
03.12.2007 07:00:00.000 GMT+0900,1.65691,1.69985,1.654,1.67225,1617097.4791
10.12.2007 07:00:00.000 GMT+0900,1.67545,1.68415,1.6488,1.6757,1495315.0985
17.12.2007 07:00:00.000 GMT+0900,1.66771,1.68245,1.6525,1.65672,1401752.1011
24.12.2007 07:00:00.000 GMT+0900,1.65662,1.68565,1.64963,1.67959,927482.6005
31.12.2007 07:00:00.000 GMT+0900,1.67732,1.69585,1.65445,1.68915,3795167.4894
07.01.2008 07:00:00.000 GMT+0900,1.6915,1.69445,1.64765,1.65792,3379505.529
14.01.2008 07:00:00.000 GMT+0900,1.66135,1.68975,1.6483,1.66185,2836346.9568
21.01.2008 07:00:00.000 GMT+0900,1.661,1.6953,1.65355,1.66824,2038673.9703
28.01.2008 07:00:00.000 GMT+0900,1.671,1.6806,1.63516,1.63603,1351423.8387
04.02.2008 07:00:00.000 GMT+0900,1.63845,1.6434,1.6124,1.61897,1412412.8116
11.02.2008 07:00:00.000 GMT+0900,1.61957,1.632,1.60005,1.61433,682177.0576
18.02.2008 07:00:00.000 GMT+0900,1.6156,1.6174,1.5923,1.60499,755389.5592
25.02.2008 07:00:00.000 GMT+0900,1.60545,1.63322,1.59475,1.63322,862042.202
03.03.2008 07:00:00.000 GMT+0900,1.6279,1.6632,1.6118,1.65592,876950.2489
10.03.2008 06:00:00.000 GMT+0900,1.65696,1.6776,1.6467,1.67117,1043672.8007
17.03.2008 06:00:00.000 GMT+0900,1.6707,1.7255,1.6614,1.71,841745.2888
24.03.2008 06:00:00.000 GMT+0900,1.71197,1.7268,1.6932,1.7205,559443.9974
31.03.2008 06:00:00.000 GMT+0900,1.7239,1.74265,1.6984,1.70472,441209.9997
07.04.2008 06:00:00.000 GMT+0900,1.7056,1.70925,1.68315,1.7029,518090.7509
14.04.2008 06:00:00.000 GMT+0900,1.69295,1.71805,1.6859,1.6919,408474.0204
21.04.2008 06:00:00.000 GMT+0900,1.6944,1.6962,1.66195,1.6737,815664.8005
28.04.2008 06:00:00.000 GMT+0900,1.67173,1.67695,1.6429,1.6495,274687.1001
05.05.2008 06:00:00.000 GMT+0900,1.64867,1.653,1.62617,1.63995,265494.5991
12.05.2008 06:00:00.000 GMT+0900,1.64225,1.6634,1.6265,1.6293,246138.8503
19.05.2008 06:00:00.000 GMT+0900,1.6295,1.6468,1.61815,1.6421,208610.3223
26.05.2008 06:00:00.000 GMT+0900,1.64301,1.6454,1.6186,1.62685,207935.6255
02.06.2008 06:00:00.000 GMT+0900,1.63067,1.6399,1.6048,1.638,254077.4116
09.06.2008 06:00:00.000 GMT+0900,1.64079,1.653,1.6303,1.6368,461443.7302
16.06.2008 06:00:00.000 GMT+0900,1.63912,1.6508,1.6276,1.6361,836556.5994
23.06.2008 06:00:00.000 GMT+0900,1.6371,1.6508,1.62542,1.643,971528.0657
30.06.2008 06:00:00.000 GMT+0900,1.64169,1.6585,1.62635,1.6292,1161734.9967
07.07.2008 06:00:00.000 GMT+0900,1.62986,1.6536,1.6257,1.6486,1072677.0989
14.07.2008 06:00:00.000 GMT+0900,1.64414,1.64735,1.6204,1.63265,1085710.0991
21.07.2008 06:00:00.000 GMT+0900,1.6278,1.64405,1.6224,1.64155,1164351.2385
28.07.2008 06:00:00.000 GMT+0900,1.64369,1.6746,1.63519,1.6741,1118604.198
04.08.2008 06:00:00.000 GMT+0900,1.67522,1.7042,1.6689,1.6877,1239612.8168
